Overall Evaluation,SCHEDULING SERVICE APPOINTMENTS ,COURTESY AND PROMPTNESS OF SA,ON THE PROMISED TIME,TASKS DONE AS EXPECTED,Concern_Yes
9,9,9,9,9,False
10,10,10,10,10,False
8,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,True
5,5,5,5,5,True
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
9,9,9,9,9,True
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
10,10,10,10,10,False
9,9,9,9,9,False
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
9,9,9,9,9,True
9,9,9,9,9,False
9,9,9,9,9,True
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
10,10,10,10,10,False
10,10,10,10,10,False
9,9,9,9,9,False
10,10,10,10,10,False
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,True
9,9,9,9,9,True
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
8,8,8,7,8,True
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
7,7,7,7,7,True
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
10,10,10,10,10,False
9,9,9,9,9,False
10,10,10,10,10,False
10,10,10,10,10,False
10,10,10,10,10,False
9,9,9,9,9,False
9,9,9,9,9,True
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
9,9,9,9,9,False
10,10,10,10,10,False
9,9,9,9,9,False
